index,Ticker,Date,Open,Close,Volume,quarter,Asset Turnover,Current Ratio,Days Sales In Receivables,Debt/Equity Ratio,Gross Margin,Inventory Turnover Ratio,Long-term Debt / Capital,Net Profit Margin,Operating Margin,ROE - Return On Equity,Receiveable Turnover,Return On Tangible Equity,Days,MA50,MA200,Crossover,Profitable,%Change,Ticker_encoded
830127,KIM,9/20/2013,13.97,13.62,4740700,3,0.0223,2.76,0.0001,0.9051,74.34,0.0001,0.4751,18.599,7.5462,1.0452,0.0001,1.0452,1355,14.1236,14.129,-1,0,0,0.333333333
830475,KIM,11/5/2015,19.24,19.87,2754800,4,0.0265,2.59,0.0001,1.0375,73.93,0.0001,0.5092,119.66,27.3896,6.5442,0.0001,6.5442,400,18.2114,18.19425,1,0,0,0.333333333
830727,KIM,11/4/2016,19.31,19.35,10655600,4,0.0264,2.38,0.0001,0.9377,71.97,0.0001,0.4839,21.7826,55.4295,2.8989,0.0001,2.8988,765,21.8708,21.92205,-1,0,0,0.333333333
831155,KIM,7/20/2018,14.54,14.45,3036800,3,0.0255,1.88,0.0001,0.8958,71.88,0.0001,0.4725,30.2473,46.0845,1.8461,0.0001,1.8461,1388,13.7736,13.77205,1,1,2.76816609,0.333333333
831566,KIM,3/10/2020,15.25,15.42,4885700,1,0.0256,3.5,0.0001,1.1716,70.62,0.0001,0.5395,28.9035,39.7965,1.8551,0.0001,1.8551,1987,18.3192,18.33805,-1,1,47.01686122,0.333333333
831977,KLAC,4/25/2006,27.34,27.35,3609900,2,0.1265,3.5881,68.3738,0.0001,50.9246,0.6327,0.0001,22.7406,12.9318,3.6905,1.3163,3.7647,389,27.9906,27.9987,-1,1,16.34369287,0.428571429
832112,KLAC,11/3/2006,26.8,26.88,2684900,4,0.1341,3.4564,62.1726,0.0001,54.1374,0.5274,0.0001,13.8693,12.0688,2.3514,1.4476,2.6574,581,25.8724,25.8676,1,1,6.25,0.428571429
832366,KLAC,11/8/2007,28.17,28.26,5093300,4,0.1531,2.989,81.9046,0.0001,56.0908,0.578,0.0001,13.2018,14.7042,2.7576,1.0988,3.2526,951,31.144,31.1475,-1,0,0,0.428571429
833042,KLAC,7/18/2011,25.14,25.07,2174100,3,0.1745,4.899,52.1643,0.2544,57.2681,0.5556,0.2028,24.1056,31.9268,6.5425,1.7253,7.5927,560,25.4722,25.47365,-1,1,8.097327483,0.428571429
833127,KLAC,11/15/2011,30.02,30.47,2234800,4,0.1367,4.517,76.2182,0.2515,57.5311,0.4266,0.201,17.2452,24.8198,3.7325,1.1808,4.3104,680,26.3714,26.2402,1,0,0,0.428571429
833291,KLAC,7/12/2012,28.83,29.12,2029000,3,0.1423,5.261,67.1164,0.2228,55.9843,0.4599,0.1822,18.7825,25.8852,4.038,1.341,4.5465,920,30.3714,30.44,-1,0,0,0.428571429
